A2	0.828
A3	0.877
A4	1.631
A5	1.07
A6	0.909
A7	0.988
A8	2.702
A9	0.89
A10	1.701
A11	1.497
A12	1.295
B2	3.369
B3	2.065
B4	0.912
B5	1.598
B6	1.106
B7	0.728
B8	0.707
B9	1.722
B10	0.858
B11	1.374
B12	1.28
C2	1.976
C3	2.638
C4	1.386
C5	1.282
C6	1.261
C7	1.359
C8	0.856
C9	2.362
C10	1.65
C11	1.925
C12	1.329
D2	1.125
D3	0.971
D4	1.859
D5	1.353
D6	1.009
D7	1.395
D8	3.169
D9	0.706
D10	1.196
D11	1.541
D12	2.032
E2	0.918
E3	2.181
E4	2.635
E5	0.957
E6	1.143
E7	1.185
E8	0.849
E9	2.898
E10	1.87
E11	1.659
E12	1.444
F2	1.332
F3	1.309
F4	1.757
F5	2.152
F6	1.11
F7	1.38
F8	3.304
F9	2.238
F10	1.918
F11	2.578
F12	1.552
G2	0.97
G3	1.127
G4	1.529
G5	1.225
G6	0.988
G7	1.307
G8	0.838
G9	2.279
G10	2.451
G11	2.536
G12	1.578
H2	0.953
H3	1.518
H4	1.331
H5	1.275
H6	0.771
H7	0.802
H8	1.828
H9	3.082
H10	2.102
H11	1.186
H12	0.735
